name,type,start,end
A-1,highway,12,336
A-11,highway,105,467
A-12,highway,76,131
A-13,highway,0,5
A-14,highway,6,16
A-14-R2,highway,0,2
A-15,highway,0,107
A-1A,highway,40,47
A-2,highway,5,709
A-21,highway,51,73
A-22,highway,0,94
A-23,highway,0,424
A-26,highway,63,83
A-27,highway,0,19
A-3,highway,3,352
A-30,highway,0,193
A-31,highway,0,239
A-32,highway,0,31
A-33,highway,0,31
A-35,highway,0,44
A-38,highway,0,38
A-4,highway,3,669
A-40,highway,89,309
A-41,highway,162,196
A-42,highway,4,75
A-43,highway,0,172
A-44,highway,0,182
A-44A,highway,116,124
A-45,highway,0,142
A-48,highway,0,36
A-49,highway,0,132
A-4R,highway,0,406
A-5,highway,10,407
A-50,highway,0,100
A-51,highway,104,114
A-52,highway,0,306
A-54,highway,0,93
A-55,highway,0,31
A-58,highway,0,45
A-5R,highway,0,2
A-6,highway,7,592
A-60,highway,000,131
A-62,highway,9,350
A-63,highway,0,28
A-63R,highway,0,2
A-64,highway,0,31
A-65,highway,0,11
A-66,highway,10,809
A-66R,highway,0,12
A-67,highway,0,205
A-68,highway,223,269
A-7,highway,274,553
A-70,highway,0,31
A-73,highway,1,10
A-75,highway,0,12
A-77,highway,0,7
A-77A,highway,0,4
A-79,highway,0,6
A-7N,highway,749,763
A-7N340,highway,1120,1172
A-7S,highway,102,659
A-8,highway,139,593
A-91,highway,0,17
A-92,highway,375,392
AC-10,highway,0,0
AC-11,highway,0,4
AC-12,highway,0,9
AC-14,highway,0,10
AC-14AL,highway,0,2
AI-81,highway,0,4
AI-82,highway,0,2
AL-14,highway,0,0
AP-1,motorway,1,82
AP-2,motorway,18,232
AP-36,motorway,0,146
AP-4,motorway,11,105
AP-41,motorway,0,47
AP-46,motorway,1,23
AP-4R,motorway,13,15
AP-51,motorway,80,104
AP-53,motorway,0,56
AP-6,motorway,39,109
AP-61,motorway,61,88
AP-66,motorway,65,143
AP-68,motorway,0,291
AP-71,motorway,0,37
AP-7N,motorway,0,911
AP-7NA,motorway,674,678
AP-7R,motorway,799,802
AP-7S,motorway,133,229
AP-9,motorway,2,177
AP-9F,motorway,0,36
AP-9V,motorway,0,5
AS-19,highway,0,4
B-10,highway,12,20
B-20,highway,0,26
B-22,highway,0,2
B-23,highway,0,15
B-24,highway,4,10
B-30,highway,0,11
B-40,highway,0,12
BA-20,highway,0,7
BU-11,highway,0,3
BU-12,highway,0,0
BU-30,highway,0,25
CA-31,highway,0,2
CA-32,highway,0,5
CA-33,highway,0,13
CA-34,highway,0,3
CA-35,highway,0,7
CA-36,highway,0,5
CA-37,highway,0,2
CO-31,highway,264,264
CO-32,highway,0,5
CS-22,highway,0,11
CT-31,highway,0,2
CT-32,highway,2,7
CT-33,highway,0,2
CT-34,highway,0,9
CV-80,highway,16,19
EL-20,highway,0,8
FE-11,highway,0,6
FE-12,highway,0,2
FE-13,highway,0,3
FE-14,highway,0,4
FE-15,highway,36,39
GJ-81,highway,1,4
GR-14,highway,0,3
GR-16,highway,0,3
H-30,highway,0,18
H-31,highway,77,84
LE-11,highway,0,9
LE-20,highway,142,313
LE-30,highway,0,9
LL-11,highway,0,7
LL-12,highway,0,5
LO-20,highway,0,18
LU-11,highway,0,4
LU-12,highway,0,3
M-11,highway,0,9
M-110,highway,0,0
M-12,highway,0,10
M-13,highway,0,2
M-14,highway,0,2
M-21,highway,0,6
M-22,highway,0,1
M-23,highway,0,0
M-31,highway,0,4
M-40,highway,0,61
M-50,highway,0,84
MA-20,highway,0,12
MA-22,highway,0,4
MA-23,highway,0,1
MA-24,highway,0,7
ML-101,highway,0,2
ML-204,highway,0,0
ML-300,highway,0,8
MU-30,highway,0,9
MU-31,highway,0,5
N-1,national,244,321
N-110,national,66,404
N-110A,national,95,258
N-111,national,150,317
N-111A,national,222,270
N-113,national,51,82
N-120,national,28,651
N-120A,national,7,570
N-121,national,0,6
N-122,national,49,538
N-122A,national,85,537
N-123,national,0,36
N-123A,national,21,42
N-124,national,39,46
N-125,national,3,9
N-126,national,0,3
N-141,national,0,8
N-145,national,0,9
N-152,national,0,1
N-154,national,0,7
N-156,national,0,1
N-1A,national,65,298
N-1R,national,321,323
N-2,national,70,779
N-204,national,0,66
N-211,national,0,330
N-211A,national,130,245
N-220,national,0,2
N-223,national,0,0
N-225,national,0,51
N-230,national,0,187
N-232,national,0,569
N-232A,national,25,457
N-234,national,2,483
N-234A,national,235,449
N-235,national,11,13
N-238,national,0,8
N-240,national,0,340
N-240A,national,17,206
N-240R,national,60,62
N-260,national,0,487
N-260A,national,3,517
N-260R,national,0,1
N-2A,national,0,724
N-2D,national,217,217
N-2E,national,226,226
N-3,national,165,305
N-301,national,63,343
N-301A,national,343,428
N-310,national,52,198
N-320,national,134,340
N-320A,national,227,271
N-322,national,118,455
N-322A,national,153,426
N-323,national,166,194
N-323A,national,1,469
N-325,national,0,20
N-330,national,92,672
N-330A,national,130,675
N-330B,national,673,675
N-331,national,17,133
N-331R,national,0,0
N-332,national,38,257
N-332A,national,35,100
N-332R,national,250,253
N-334,national,0,0
N-337,national,0,1
N-338,national,0,5
N-339,national,0,0
N-340,national,10,1243
N-340A,national,263,1196
N-340B,national,405,493
N-341,national,0,17
N-342A,national,83,94
N-343,national,9,9
N-343A,national,3,6
N-344,national,4,132
N-345,national,0,7
N-346,national,0,0
N-347AL,national,0,3
N-347GR,national,0,0
N-349,national,0,3
N-350,national,0,1
N-351,national,3,6
N-352CE,national,0,3
N-354,national,1,7
N-357,national,1,2
N-362,national,0,0
N-3A,national,29,40
N-4,national,144,643
N-400,national,7,174
N-400A,national,114,120
