id,start,end,road_name,road_type,black_point,signposting,radar
0,12,13,A-1,highway,0,1,0
1,13,14,A-1,highway,0,0,1
2,14,15,A-1,highway,0,1,0
3,15,16,A-1,highway,0,1,0
4,16,17,A-1,highway,0,1,1
5,17,18,A-1,highway,0,0,0
6,18,19,A-1,highway,0,1,0
7,19,20,A-1,highway,1,1,0
8,20,21,A-1,highway,0,1,0
9,21,22,A-1,highway,0,1,1
10,22,23,A-1,highway,0,0,0
11,23,24,A-1,highway,0,1,1
12,24,25,A-1,highway,0,0,0
13,25,26,A-1,highway,0,1,0
14,26,27,A-1,highway,0,1,0
15,27,28,A-1,highway,0,0,0
16,28,29,A-1,highway,0,0,0
17,29,30,A-1,highway,0,0,0
18,30,31,A-1,highway,0,1,0
19,31,32,A-1,highway,0,1,0
20,32,33,A-1,highway,1,0,0
21,33,34,A-1,highway,0,1,1
22,34,35,A-1,highway,0,0,0
23,35,36,A-1,highway,0,1,0
24,36,37,A-1,highway,0,0,0
25,37,38,A-1,highway,0,0,1
26,38,39,A-1,highway,0,1,0
27,39,40,A-1,highway,0,0,0
28,40,41,A-1,highway,0,0,0
29,41,42,A-1,highway,0,1,0
30,42,43,A-1,highway,0,0,0
31,43,44,A-1,highway,0,0,1
32,44,45,A-1,highway,0,0,0
33,45,46,A-1,highway,0,1,0
34,46,47,A-1,highway,0,1,1
35,47,48,A-1,highway,0,0,0
36,48,49,A-1,highway,0,1,0
37,49,50,A-1,highway,0,1,0
38,50,51,A-1,highway,0,1,0
39,51,52,A-1,highway,0,1,0
40,52,53,A-1,highway,0,1,1
41,53,54,A-1,highway,0,1,0
42,54,55,A-1,highway,0,0,0
43,55,56,A-1,highway,0,0,0
44,56,57,A-1,highway,0,1,1
45,57,58,A-1,highway,0,0,0
46,58,59,A-1,highway,0,1,0
47,59,60,A-1,highway,1,0,0
48,60,61,A-1,highway,0,1,0
49,61,62,A-1,highway,1,1,0
50,62,63,A-1,highway,0,1,0
51,63,64,A-1,highway,0,0,0
52,64,65,A-1,highway,0,0,0
53,65,66,A-1,highway,0,0,1
54,66,67,A-1,highway,0,0,0
55,67,68,A-1,highway,0,1,0
56,68,69,A-1,highway,0,1,0
57,69,70,A-1,highway,0,1,1
58,70,71,A-1,highway,0,1,0
59,71,72,A-1,highway,0,1,0
60,72,73,A-1,highway,0,0,0
61,73,74,A-1,highway,0,1,1
62,74,75,A-1,highway,0,1,0
63,75,76,A-1,highway,0,1,0
64,76,77,A-1,highway,0,1,0
65,77,78,A-1,highway,0,1,0
66,78,79,A-1,highway,0,1,0
67,79,80,A-1,highway,0,0,0
68,80,81,A-1,highway,0,1,0
69,81,82,A-1,highway,0,0,1
70,82,83,A-1,highway,0,1,0
71,83,84,A-1,highway,0,1,0
