start,end,road_name,road_type,black_point,signposting,radar
12,13,A-1,highway,1,1,0
13,14,A-1,highway,0,1,0
14,15,A-1,highway,1,0,1
15,16,A-1,highway,0,1,1
16,17,A-1,highway,0,1,0
17,18,A-1,highway,1,0,0
18,19,A-1,highway,0,0,1
19,20,A-1,highway,0,0,0
20,21,A-1,highway,0,1,0
21,22,A-1,highway,0,1,1
22,23,A-1,highway,0,0,0
23,24,A-1,highway,0,0,1
24,25,A-1,highway,0,0,1
25,26,A-1,highway,0,0,0
26,27,A-1,highway,0,1,0
27,28,A-1,highway,0,0,0
28,29,A-1,highway,0,0,0
29,30,A-1,highway,0,0,0
30,31,A-1,highway,0,0,0
31,32,A-1,highway,0,1,0
32,33,A-1,highway,0,1,0
33,34,A-1,highway,0,1,1
34,35,A-1,highway,0,0,1
35,36,A-1,highway,0,1,1
36,37,A-1,highway,0,0,0
37,38,A-1,highway,0,1,1
38,39,A-1,highway,0,0,0
39,40,A-1,highway,0,0,1
40,41,A-1,highway,0,0,1
41,42,A-1,highway,0,1,0
42,43,A-1,highway,0,0,0
43,44,A-1,highway,0,1,0
44,45,A-1,highway,1,1,1
45,46,A-1,highway,0,1,0
46,47,A-1,highway,0,0,0
47,48,A-1,highway,0,0,1
48,49,A-1,highway,0,1,0
49,50,A-1,highway,0,0,1
50,51,A-1,highway,0,1,0
51,52,A-1,highway,0,1,0
52,53,A-1,highway,0,0,1
53,54,A-1,highway,0,1,0
54,55,A-1,highway,0,1,0
55,56,A-1,highway,0,1,1
56,57,A-1,highway,0,1,0
57,58,A-1,highway,0,0,0
58,59,A-1,highway,0,1,0
59,60,A-1,highway,0,1,0
60,61,A-1,highway,0,0,0
61,62,A-1,highway,0,0,0
62,63,A-1,highway,0,1,0
63,64,A-1,highway,0,0,0
64,65,A-1,highway,0,0,0
65,66,A-1,highway,0,0,0
66,67,A-1,highway,0,1,1
67,68,A-1,highway,0,0,1
68,69,A-1,highway,0,1,0
69,70,A-1,highway,0,1,0
70,71,A-1,highway,0,1,0
71,72,A-1,highway,0,1,0
72,73,A-1,highway,0,0,0
73,74,A-1,highway,0,1,1
74,75,A-1,highway,0,1,1
75,76,A-1,highway,0,1,1
76,77,A-1,highway,0,0,0
77,78,A-1,highway,0,0,0
78,79,A-1,highway,0,1,0
79,80,A-1,highway,0,0,1
80,81,A-1,highway,0,0,0
81,82,A-1,highway,0,1,1
82,83,A-1,highway,0,0,1
83,84,A-1,highway,0,0,1
84,85,A-1,highway,1,1,0
85,86,A-1,highway,1,1,0
86,87,A-1,highway,0,0,0
87,88,A-1,highway,0,0,0
88,89,A-1,highway,0,1,0
89,90,A-1,highway,0,0,1
90,91,A-1,highway,0,1,1
91,92,A-1,highway,0,0,1
92,93,A-1,highway,0,1,0
93,94,A-1,highway,1,0,1
94,95,A-1,highway,0,0,1
95,96,A-1,highway,0,1,1
96,97,A-1,highway,0,0,0
97,98,A-1,highway,0,0,0
98,99,A-1,highway,0,1,1
99,100,A-1,highway,0,0,0
100,101,A-1,highway,0,0,0
101,102,A-1,highway,0,1,0
102,103,A-1,highway,0,1,1
103,104,A-1,highway,0,1,1
104,105,A-1,highway,0,0,0
105,106,A-1,highway,1,1,1
106,107,A-1,highway,0,0,1
107,108,A-1,highway,0,0,1
108,109,A-1,highway,0,1,0
