type,brand,car_spaces,passengers,antiquity,drive_permission,electric
Car,Saab,2,2,2,1,0
Lorry,Agrale,3,2,13,1,0
Motorbyke,Ducati,1,1,19,1,0
Lorry,Pegaso,3,1,5,1,0
Van,Peugeot,7,6,10,1,0
Lorry,Agrale,3,3,5,1,0
Van,Dacia,6,5,18,1,0
Van,Dacia,5,5,16,1,0
Van,Dacia,5,5,24,1,0
Tractor,John Deere,1,1,2,1,0
Van,Volkswagen,5,5,2,1,0
Tractor,Claas,1,1,7,1,0
Lorry,Agrale,3,1,23,1,0
Tractor,Case,1,1,26,1,0
Motorbyke,Kawasaki,2,1,26,1,0
Car,Alfa Romeo,5,5,16,1,0
Van,Iveco,7,5,24,1,0
Tractor,New Holland,1,1,28,1,0
Van,Dacia,6,6,22,1,0
Lorry,Mercedes-Benz,3,3,1,1,0
Lorry,Pegaso,3,3,0,1,0
Tractor,Valtra,1,1,15,1,0
Lorry,Agrale,3,1,5,1,1
Lorry,Mercedes-Benz,3,1,13,1,0
Without_carnet,Microcar,2,2,0,0,0
Tractor,Deutz,2,1,20,1,1
Car,KIA,3,2,14,1,0
Lorry,Agrale,3,2,5,1,0
Motorbyke,Aprilia,1,1,18,1,0
Car,Renault,5,5,20,1,0
Motorbyke,Ducati,1,1,30,1,0
Motorbyke,Vespa,2,1,3,1,0
Van,Seat,5,5,28,1,0
Van,Ford,5,5,7,1,0
Lorry,Agrale,3,2,28,1,0
Van,Renault,7,6,27,1,0
Car,Suzuki,5,4,25,1,0
Without_carnet,Ligier,1,1,16,0,0
Car,Maserati,2,1,9,1,0
Lorry,Mercedes-Benz,3,2,29,1,0
Motorbyke,KTM,1,1,18,1,0
Tractor,John Deere,1,1,12,1,1
Tractor,Lanz Bulldog,1,1,23,1,0
Lorry,Pegaso,3,2,29,1,0
Tractor,Fendt,1,1,20,1,0
Motorbyke,KTM,2,2,24,1,0
Without_carnet,Microcar,2,1,24,0,0
Car,Honda,5,2,19,1,0
Car,Mini,5,5,5,1,0
Without_carnet,Chatenet,1,1,6,0,1
Without_carnet,Ligier,1,1,11,0,0
Without_carnet,Chatenet,1,1,13,0,0
Car,Opel,2,2,0,1,0
Car,Peugeot,4,4,16,1,0
Motorbyke,Yamaha,1,1,5,1,1
Van,Peugeot,7,7,17,1,0
Motorbyke,Vespa,1,1,6,1,0
Car,Alfa Romeo,3,3,9,1,0
Without_carnet,Chatenet,1,1,4,0,0
Without_carnet,Aixam,2,2,3,0,0
Lorry,Pegaso,3,1,24,1,0
Car,Honda,4,3,13,1,0
Van,Iveco,7,7,15,1,0
Tractor,Case,1,1,24,1,0
Without_carnet,Aixam,1,1,24,0,0
Lorry,Agrale,3,1,28,1,0
Without_carnet,Chatenet,1,1,24,0,1
Motorbyke,Derbi,2,2,12,1,0
Lorry,Volvo,3,1,4,1,0
Tractor,Fendt,1,1,27,1,0
Tractor,New Holland,1,1,21,1,0
Lorry,Pegaso,3,1,28,1,0
Motorbyke,Derbi,1,1,4,1,0
Car,Rolls Royce,4,2,2,1,0
Car,Chrysler,4,3,26,1,1
Car,Suzuki,5,3,1,1,0
Tractor,Case,1,1,25,1,0
Tractor,Lanz Bulldog,1,1,5,1,0
Motorbyke,Kawasaki,2,2,30,1,0
Without_carnet,Ligier,1,1,30,0,0
Tractor,Lanz Bulldog,2,1,14,1,0
Van,Seat,8,5,13,1,0
Without_carnet,Ligier,2,1,29,0,1
Without_carnet,Chatenet,2,1,0,0,0
Car,Honda,3,1,20,1,0
Motorbyke,Kawasaki,1,1,21,1,0
Lorry,Volvo,3,2,13,1,0
Car,Volkswagen,3,3,22,1,0
Van,Citroen,7,7,15,1,0
Without_carnet,Aixam,1,1,4,0,0
Tractor,Ford,2,1,7,1,0
Van,Mercedes-Benz,5,5,13,1,0
Without_carnet,Chatenet,2,1,29,0,0
Tractor,John Deere,1,1,26,1,1
Tractor,Case,2,1,17,1,0
Tractor,Fendt,2,2,4,1,1
Tractor,New Holland,2,1,2,1,0
Car,Lamborgini,3,1,24,1,0
Lorry,Agrale,3,3,22,1,0
Tractor,Claas,2,1,18,1,0
Motorbyke,Kawasaki,1,1,25,1,0
Motorbyke,KTM,2,2,18,1,0
Lorry,Mercedes-Benz,3,1,22,1,0
Car,Land Rover,4,4,12,1,0
Motorbyke,Ducati,1,1,23,1,0
Car,McLaren,2,2,16,1,0
Car,Citroen,5,2,16,1,1
Motorbyke,KTM,1,1,30,1,0
Car,Porsche,3,2,4,1,1
Motorbyke,Harley Davidson,1,1,7,1,0
Tractor,Lanz Bulldog,1,1,30,1,0
Motorbyke,Ducati,2,1,7,1,0
Van,Fiat,7,5,2,1,0
Van,Fiat,5,5,8,1,0
Van,Dacia,6,6,30,1,0
Van,Toyota,8,8,26,1,0
Lorry,Mercedes-Benz,3,1,2,1,0
Lorry,Volvo,3,2,9,1,0
Motorbyke,Aprilia,2,2,14,1,0
Without_carnet,Ligier,1,1,15,0,0
Without_carnet,Ligier,1,1,14,0,0
Motorbyke,Kawasaki,1,1,1,1,0
Motorbyke,Derbi,2,1,21,1,0
Van,Mercedes-Benz,5,5,4,1,0
Motorbyke,KTM,2,2,13,1,0
Lorry,Iveco,3,3,6,1,1
Tractor,Lanz Bulldog,2,2,21,1,0
Car,Peugeot,2,2,11,1,0
Tractor,Lanz Bulldog,1,1,10,1,0
Motorbyke,Harley Davidson,1,1,30,1,1
Without_carnet,Ligier,2,1,23,0,0
Car,Jeep,5,2,13,1,0
Without_carnet,Microcar,2,1,9,0,0
Tractor,Valtra,2,2,19,1,1
Van,Peugeot,5,5,6,1,0
Lorry,Mercedes-Benz,3,2,19,1,0
Lorry,Volvo,3,2,23,1,0
Car,Infiniti,5,3,23,1,0
Tractor,Ford,1,1,11,1,0
Van,Citroen,8,7,17,1,0
Lorry,Agrale,3,3,8,1,0
Motorbyke,KTM,1,1,26,1,0
Car,Suzuki,2,1,27,1,0
Motorbyke,Ducati,2,1,6,1,1
Motorbyke,Derbi,1,1,22,1,0
Motorbyke,KTM,1,1,7,1,0
Tractor,John Deere,2,2,5,1,0
Without_carnet,Chatenet,2,2,21,0,0
Tractor,Massey Ferguson,2,2,22,1,0
Without_carnet,Ligier,1,1,26,0,0
Van,Ford,8,8,23,1,0
Without_carnet,Microcar,2,2,8,0,0
Van,Ford,6,5,9,1,0
Without_carnet,Chatenet,1,1,16,0,0
Lorry,Iveco,3,1,21,1,0
Car,Lamborgini,2,1,13,1,0
Van,Nissan,5,5,17,1,0
Without_carnet,Ligier,1,1,14,0,0
Van,Renault,6,6,7,1,0
Van,Mercedes-Benz,7,6,9,1,0
Lorry,Volvo,3,3,7,1,0
Car,Mitsubishi,3,3,29,1,0
Car,Citroen,5,5,11,1,0
Tractor,New Holland,1,1,26,1,0
Tractor,Case,2,1,16,1,0
Lorry,Volvo,3,1,1,1,0
Motorbyke,Kawasaki,1,1,6,1,0
Van,Toyota,5,5,21,1,0
Car,KIA,4,1,25,1,0
Van,Renault,8,5,1,1,1
Tractor,Lanz Bulldog,2,2,14,1,0
Motorbyke,Harley Davidson,1,1,25,1,0
Without_carnet,Chatenet,1,1,21,0,0
Motorbyke,Kawasaki,1,1,9,1,1
Van,Volkswagen,8,7,13,1,0
Without_carnet,Ligier,2,1,28,0,0
Tractor,John Deere,2,2,18,1,0
Car,Saab,4,3,26,1,0
Car,Cadillac,4,1,0,1,0
Van,Iveco,8,5,4,1,0
Without_carnet,Chatenet,1,1,30,0,0
Without_carnet,Chatenet,1,1,14,0,0
Motorbyke,Kawasaki,1,1,13,1,0
Motorbyke,Kawasaki,2,1,9,1,0
Motorbyke,KTM,1,1,12,1,0
Lorry,Volvo,3,1,19,1,0
Without_carnet,Aixam,2,2,7,0,1
Van,Dacia,5,5,28,1,1
Tractor,Case,2,1,9,1,0
Motorbyke,KTM,2,2,0,1,0
Car,Ferrari,4,1,20,1,1
Van,Toyota,5,5,9,1,0
Lorry,Agrale,3,2,14,1,0
Motorbyke,Vespa,1,1,6,1,0
Lorry,Pegaso,3,3,4,1,1
Tractor,Massey Ferguson,1,1,3,1,0
Tractor,Case,1,1,21,1,0
Tractor,Ford,1,1,16,1,0
Motorbyke,Kawasaki,1,1,5,1,0
Motorbyke,Aprilia,2,2,4,1,0
Tractor,Fendt,2,1,23,1,0
Tractor,Fendt,1,1,14,1,0
Lorry,Iveco,3,2,24,1,0
Motorbyke,KTM,2,1,18,1,0
Motorbyke,Kawasaki,1,1,22,1,0
Without_carnet,Microcar,1,1,8,0,0
