id,type,brand,car_spaces,passengers,antiquity,drive_permission,electric
0,Lorry,Pegaso,3,2,25,1,0
1,Tractor,New Holland,2,2,27,1,0
2,Car,Land Rover,2,1,6,1,0
3,Van,Seat,5,5,14,1,0
4,Motorbyke,Aprilia,1,1,9,1,0
5,Car,Peugeot,5,5,23,1,0
6,Lorry,Mercedes-Benz,3,2,2,1,0
7,Motorbyke,Aprilia,2,1,15,1,0
8,Car,Bugatti,2,1,15,1,0
9,Motorbyke,Derbi,2,1,10,1,0
10,Lorry,Agrale,3,1,20,1,0
11,Without_carnet,Ligier,2,2,15,0,0
12,Without_carnet,Ligier,1,1,25,0,0
13,Motorbyke,Harley Davidson,1,1,27,1,0
14,Motorbyke,Aprilia,1,1,3,1,0
15,Car,Peugeot,2,2,27,1,0
16,Lorry,Mercedes-Benz,3,2,2,1,0
17,Motorbyke,KTM,1,1,20,1,0
18,Van,Peugeot,7,5,14,1,0
19,Car,Renault,5,5,8,1,0
20,Motorbyke,Harley Davidson,1,1,17,1,0
21,Lorry,Pegaso,3,1,5,1,0
22,Without_carnet,Aixam,1,1,4,0,0
23,Car,KIA,3,2,2,1,0
24,Van,Peugeot,7,7,3,1,0
25,Motorbyke,Vespa,1,1,18,1,0
26,Lorry,Agrale,3,2,9,1,0
27,Lorry,Iveco,3,2,27,1,0
28,Without_carnet,Chatenet,2,2,14,0,1
29,Car,Renault,5,5,16,1,0
30,Motorbyke,Vespa,2,2,13,1,0
31,Car,Dodge,4,4,20,1,0
32,Lorry,Iveco,3,2,22,1,0
33,Without_carnet,Chatenet,2,2,0,0,0
34,Car,Subaru,3,3,26,1,0
35,Car,McLaren,2,2,5,1,0
36,Van,Dacia,5,5,21,1,0
37,Car,Dodge,5,3,17,1,0
38,Tractor,Claas,2,1,5,1,0
39,Lorry,Agrale,3,3,27,1,0
40,Lorry,Agrale,3,3,24,1,0
41,Lorry,Mercedes-Benz,3,3,16,1,1
42,Motorbyke,Aprilia,1,1,12,1,0
43,Tractor,Massey Ferguson,1,1,1,1,0
44,Car,Mini,5,3,8,1,1
45,Lorry,Iveco,3,3,21,1,0
46,Lorry,Volvo,3,3,18,1,0
47,Van,Opel,7,7,17,1,0
48,Without_carnet,Chatenet,1,1,28,0,0
49,Without_carnet,Ligier,1,1,25,0,0
50,Tractor,Deutz,1,1,24,1,0
51,Motorbyke,Kawasaki,2,1,29,1,1
52,Van,Ford,5,5,3,1,0
53,Without_carnet,Chatenet,2,1,27,0,0
54,Motorbyke,Derbi,2,1,27,1,0
55,Lorry,Volvo,3,2,17,1,0
56,Motorbyke,Derbi,2,2,28,1,0
57,Van,Dacia,5,5,19,1,0
58,Motorbyke,Aprilia,2,1,22,1,0
59,Motorbyke,KTM,1,1,22,1,0
60,Lorry,Iveco,3,3,22,1,0
61,Tractor,Deutz,2,1,12,1,0
62,Motorbyke,KTM,2,2,5,1,0
63,Without_carnet,Microcar,1,1,23,0,0
64,Car,Lexus,4,2,22,1,0
65,Van,Toyota,8,6,29,1,1
66,Tractor,Case,2,2,18,1,0
67,Without_carnet,Microcar,1,1,0,0,0
68,Without_carnet,Aixam,1,1,20,0,0
69,Van,Seat,5,5,11,1,0
70,Tractor,Claas,1,1,3,1,0
71,Tractor,Massey Ferguson,1,1,20,1,0
72,Tractor,Claas,1,1,11,1,0
73,Without_carnet,Microcar,2,1,12,0,0
74,Motorbyke,Aprilia,1,1,1,1,0
75,Lorry,Volvo,3,2,1,1,1
76,Lorry,Mercedes-Benz,3,1,0,1,0
77,Van,Ford,8,7,4,1,0
78,Without_carnet,Aixam,2,2,22,0,1
79,Motorbyke,Ducati,2,1,4,1,0
80,Tractor,Deutz,2,1,24,1,1
81,Tractor,Claas,1,1,25,1,0
82,Tractor,John Deere,2,1,26,1,0
83,Van,Ford,7,7,20,1,0
84,Tractor,Valtra,1,1,30,1,0
85,Lorry,Iveco,3,3,7,1,0
86,Lorry,Agrale,3,3,28,1,0
87,Tractor,Ford,1,1,24,1,0
88,Motorbyke,KTM,2,2,12,1,0
89,Car,Honda,2,2,11,1,0
90,Car,Jeep,4,4,1,1,1
91,Tractor,John Deere,2,2,28,1,1
92,Car,Koenigsegg,5,2,5,1,0
93,Motorbyke,Vespa,1,1,29,1,0
94,Car,Bentley,2,1,11,1,0
95,Car,Mitsubishi,4,2,9,1,0
96,Lorry,Agrale,3,3,27,1,0
97,Without_carnet,Ligier,2,1,23,0,0
98,Without_carnet,Microcar,2,1,23,0,1
99,Car,Peugeot,2,1,10,1,0
100,Car,Infiniti,3,2,7,1,0
101,Tractor,New Holland,1,1,1,1,0
102,Lorry,Volvo,3,3,28,1,0
103,Without_carnet,Aixam,2,2,18,0,0
104,Without_carnet,Chatenet,2,1,15,0,0
105,Without_carnet,Microcar,2,1,13,0,0
106,Van,Opel,5,5,29,1,0
107,Motorbyke,Ducati,1,1,24,1,1
108,Without_carnet,Microcar,2,2,14,0,0
