age,sex,experience,previous_infractions,illness
30,0,11,10,0
57,1,28,2,0
56,0,26,2,0
56,1,10,7,0
28,1,3,6,0
74,0,9,9,0
33,0,7,8,1
33,1,5,8,1
39,1,13,7,0
83,0,0,0,0
75,0,28,1,0
56,1,37,10,1
43,0,12,1,0
74,0,10,3,1
58,0,2,10,0
29,0,5,0,0
64,1,43,6,0
20,1,2,8,0
78,1,26,5,0
39,0,20,6,0
30,0,6,5,0
60,0,23,5,0
83,1,6,9,0
79,0,56,0,0
32,0,0,2,0
22,1,4,8,0
71,0,21,9,0
44,0,11,5,0
28,1,0,9,0
33,0,12,7,1
77,1,51,9,0
49,1,16,6,1
61,0,10,1,0
37,0,11,5,1
40,1,12,10,0
31,0,2,9,0
83,1,35,0,1
64,0,38,6,0
44,0,23,2,0
50,1,17,0,1
63,1,22,8,0
68,0,29,2,0
30,0,6,9,0
78,1,38,10,0
40,1,6,3,0
34,1,7,10,0
42,0,10,3,0
59,1,19,2,0
84,0,39,7,0
67,1,16,4,0
72,1,2,7,0
83,0,55,7,0
30,0,8,3,0
50,1,24,5,0
78,0,41,6,0
32,0,1,7,1
75,1,5,4,0
81,1,44,2,0
44,0,13,5,0
46,1,19,2,0
55,0,31,5,0
69,0,13,2,0
65,1,33,1,0
32,1,9,6,0
53,1,14,2,0
33,0,9,0,0
64,0,11,8,0
53,1,7,3,0
71,1,16,0,0
43,0,18,6,0
57,1,39,6,1
47,1,12,1,0
76,0,26,7,0
68,1,20,9,1
49,1,2,9,1
74,1,53,9,1
48,1,13,1,1
58,1,12,1,0
68,1,24,8,0
76,0,39,6,0
42,1,15,5,0
30,1,1,6,0
19,1,1,10,0
54,1,21,9,0
82,1,6,1,1
44,1,0,9,0
83,1,41,10,1
63,0,26,4,0
48,1,3,8,0
28,0,7,8,0
34,1,12,0,0
44,1,16,8,0
59,0,11,5,0
66,1,27,4,1
55,0,24,9,0
23,1,5,5,1
32,1,11,2,1
43,1,2,7,0
85,0,15,9,1
48,0,17,6,0
28,0,7,10,0
49,1,14,2,0
45,1,7,4,1
72,1,50,9,0
49,0,12,8,0
46,0,18,6,0
39,0,19,5,0
20,1,2,2,0
81,1,44,5,1
56,0,3,4,1
75,1,3,4,0
19,1,0,1,1
77,0,31,7,0
79,0,10,7,0
58,0,26,10,0
67,1,46,10,1
40,0,15,4,1
83,0,17,0,0
23,0,5,0,0
84,0,2,9,1
71,1,14,9,0
46,0,11,1,0
64,1,3,2,1
18,0,0,7,0
45,0,26,8,0
44,0,2,4,0
54,1,0,10,0
44,1,8,9,1
79,1,34,8,0
74,1,38,2,0
37,1,1,9,1
72,0,15,8,0
33,0,1,4,0
70,0,50,8,0
24,1,5,5,0
49,0,2,8,0
64,0,2,3,0
60,1,35,5,0
62,0,11,8,0
20,1,0,4,0
75,1,2,8,0
76,0,35,4,0
79,0,31,0,1
38,0,8,7,0
72,1,21,7,1
29,1,4,5,0
72,1,22,0,0
61,1,9,10,0
70,0,50,5,0
55,0,33,10,0
49,0,9,4,0
18,1,0,7,1
34,1,14,5,0
61,0,7,6,0
65,1,27,5,0
28,0,0,2,0
75,0,18,10,1
82,1,60,8,0
72,1,29,3,0
43,0,22,9,0
48,0,11,6,0
71,1,4,2,0
33,0,3,9,1
23,1,2,10,0
47,1,3,2,1
85,1,27,0,0
46,0,12,4,0
41,1,2,2,0
83,1,56,3,0
63,1,33,4,0
65,0,23,1,0
26,1,8,8,0
75,1,37,9,0
55,1,2,7,0
84,1,35,6,1
85,1,55,10,0
37,1,17,10,0
84,1,66,4,1
20,0,2,7,0
80,0,10,10,0
27,1,0,4,0
60,1,31,7,0
84,1,60,1,0
49,1,30,0,0
21,0,0,5,0
18,0,0,6,0
20,0,1,7,1
33,0,4,9,0
52,1,12,6,0
28,1,0,8,0
43,0,22,7,0
30,1,7,0,1
28,1,8,3,0
47,0,28,9,0
52,1,21,7,0
24,0,4,7,0
