id,type,brand,car_spaces,passengers,antiquity,drive_permission,electric
0,Without_carnet,Chatenet,1,1,17,false,false
1,Van,Seat,7,6,30,true,false
2,Tractor,Lanz Bulldog,1,1,5,true,false
3,Car,Mini,3,2,8,true,false
4,Without_carnet,Ligier,1,1,11,false,false
5,Motorbyke,Aprilia,2,2,10,true,false
6,Motorbyke,Ducati,1,1,21,true,false
7,Without_carnet,Aixam,2,2,29,false,false
8,Lorry,Volvo,3,2,4,true,false
9,Car,Mercedes-Benz,4,1,22,true,false
10,Without_carnet,Microcar,2,2,9,false,false
11,Van,Seat,7,6,21,true,false
12,Without_carnet,Aixam,1,1,18,false,true
13,Without_carnet,Ligier,2,2,30,false,false
14,Lorry,Pegaso,3,2,19,true,true
15,Lorry,Agrale,3,1,30,true,true
16,Car,Infiniti,4,2,16,true,true
17,Lorry,Iveco,3,3,13,true,false
18,Van,Citroen,7,7,8,true,true
19,Van,Fiat,5,5,24,true,false
20,Car,Jaguar,2,1,18,true,false
21,Motorbyke,Kawasaki,2,2,20,true,false
22,Motorbyke,Derbi,2,1,10,true,false
23,Without_carnet,Ligier,1,1,21,false,false
24,Van,Peugeot,7,7,0,true,true
25,Van,Ford,6,6,3,true,false
26,Without_carnet,Ligier,2,1,17,false,false
27,Van,Citroen,8,7,23,true,false
28,Car,Koenigsegg,5,3,28,true,false
29,Car,Audi,2,1,8,true,false
30,Motorbyke,Yamaha,1,1,29,true,false
31,Van,Fiat,8,5,23,true,false
32,Van,Nissan,6,6,28,true,false
33,Without_carnet,Microcar,2,2,30,false,false
34,Tractor,Claas,1,1,11,true,false
35,Motorbyke,Aprilia,2,2,13,true,false
36,Without_carnet,Ligier,1,1,26,false,false
37,Lorry,Iveco,3,2,5,true,false
38,Van,Ford,5,5,7,true,false
39,Tractor,Case,2,2,6,true,false
40,Lorry,Iveco,3,1,26,true,false
41,Without_carnet,Ligier,2,1,5,false,true
42,Van,Iveco,5,5,13,true,false
43,Without_carnet,Ligier,1,1,29,false,false
44,Motorbyke,KTM,2,2,23,true,false
45,Without_carnet,Ligier,1,1,9,false,false
46,Motorbyke,Derbi,2,2,5,true,true
47,Without_carnet,Aixam,1,1,25,false,true
48,Lorry,Pegaso,3,1,15,true,false
49,Tractor,Case,1,1,30,true,true
50,Without_carnet,Microcar,2,2,19,false,false
51,Car,Jeep,5,5,17,true,false
52,Lorry,Pegaso,3,1,19,true,false
53,Van,Dacia,6,5,10,true,false
54,Lorry,Pegaso,3,3,2,true,false
55,Tractor,Valtra,1,1,3,true,true
56,Motorbyke,Aprilia,1,1,22,true,false
57,Motorbyke,Harley Davidson,2,1,18,true,false
58,Car,Aston Martin,4,4,11,true,true
59,Motorbyke,KTM,2,1,13,true,false
60,Lorry,Iveco,3,3,10,true,false
61,Car,Aston Martin,3,3,5,true,false
62,Car,Jaguar,4,4,7,true,false
63,Motorbyke,KTM,2,1,4,true,false
64,Without_carnet,Ligier,1,1,8,false,false
65,Car,Mercedes-Benz,3,3,10,true,false
66,Tractor,Deutz,1,1,15,true,false
67,Tractor,New Holland,1,1,11,true,false
68,Van,Citroen,7,7,15,true,false
69,Van,Seat,7,6,18,true,false
70,Tractor,New Holland,2,2,1,true,false
71,Lorry,Volvo,3,3,23,true,false
72,Van,Iveco,8,6,17,true,false
73,Lorry,Pegaso,3,3,13,true,false
74,Tractor,Deutz,2,1,10,true,false
75,Motorbyke,Kawasaki,2,2,19,true,false
76,Car,Suzuki,2,1,5,true,false
77,Car,Ford,2,2,1,true,false
78,Tractor,Valtra,2,2,17,true,false
79,Lorry,Volvo,3,3,10,true,false
80,Lorry,Agrale,3,3,8,true,false
81,Without_carnet,Ligier,2,2,17,false,false
82,Van,Dacia,8,7,11,true,false
83,Car,Mazda,2,2,15,true,true
84,Car,Jaguar,5,2,29,true,false
85,Tractor,Deutz,2,2,8,true,false
86,Car,Mitsubishi,5,2,15,true,false
87,Tractor,Ford,2,1,12,true,false
88,Tractor,Claas,2,1,30,true,true
89,Without_carnet,Chatenet,2,2,13,false,false
90,Lorry,Iveco,3,1,7,true,false
91,Motorbyke,KTM,2,2,12,true,true
92,Car,Lamborgini,3,3,3,true,false
93,Motorbyke,Derbi,2,1,15,true,false
94,Lorry,Iveco,3,3,25,true,false
95,Lorry,Volvo,3,3,25,true,false
96,Lorry,Volvo,3,1,14,true,false
97,Lorry,Pegaso,3,3,3,true,false
98,Without_carnet,Microcar,2,2,29,false,false
99,Van,Iveco,6,6,17,true,false
100,Car,Rolls Royce,4,4,5,true,false
101,Motorbyke,Harley Davidson,1,1,26,true,false
102,Car,Audi,3,3,5,true,false
103,Car,Renault,3,1,8,true,false
104,Motorbyke,Yamaha,2,2,26,true,false
105,Lorry,Agrale,3,1,2,true,false
106,Tractor,Lanz Bulldog,2,1,30,true,false
107,Without_carnet,Ligier,1,1,17,false,false
108,Tractor,Lanz Bulldog,1,1,23,true,false
109,Lorry,Volvo,3,2,18,true,false
110,Tractor,Deutz,1,1,26,true,true
111,Tractor,New Holland,2,2,22,true,false
112,Without_carnet,Chatenet,1,1,21,false,false
113,Without_carnet,Ligier,2,2,19,false,false
114,Tractor,Fendt,1,1,1,true,false
115,Lorry,Mercedes-Benz,3,2,30,true,false
116,Tractor,Claas,2,2,20,true,true
117,Car,Tesla,2,1,17,true,false
118,Tractor,Fendt,1,1,16,true,false
119,Without_carnet,Microcar,2,2,20,false,false
120,Van,Fiat,6,5,18,true,false
121,Car,Saab,3,2,25,true,false
122,Without_carnet,Aixam,1,1,4,false,false
123,Lorry,Volvo,3,3,6,true,false
124,Motorbyke,KTM,2,1,1,true,false
125,Without_carnet,Microcar,2,2,0,false,false
126,Without_carnet,Microcar,2,2,3,false,true
127,Tractor,New Holland,1,1,28,true,true
128,Tractor,Valtra,2,2,2,true,false
129,Van,Dacia,7,7,26,true,false
130,Without_carnet,Aixam,1,1,5,false,false
131,Tractor,Lanz Bulldog,1,1,28,true,false
132,Van,Fiat,5,5,15,true,false
133,Car,Tesla,3,3,20,true,false
134,Van,Volkswagen,6,6,10,true,false
135,Lorry,Agrale,3,3,27,true,false
136,Car,Chrysler,5,3,2,true,false
137,Van,Toyota,5,5,19,true,false
138,Tractor,Valtra,1,1,15,true,true
139,Motorbyke,Ducati,1,1,15,true,false
140,Lorry,Agrale,3,2,1,true,false
141,Lorry,Volvo,3,2,5,true,false
142,Van,Iveco,8,6,10,true,false
143,Car,Subaru,4,3,30,true,false
144,Lorry,Agrale,3,1,19,true,false
145,Car,Mitsubishi,3,1,30,true,false
146,Tractor,Claas,2,2,26,true,true
147,Motorbyke,KTM,2,1,19,true,false
148,Lorry,Mercedes-Benz,3,1,9,true,false
149,Motorbyke,Harley Davidson,1,1,11,true,false
150,Tractor,Lanz Bulldog,2,1,22,true,false
151,Lorry,Mercedes-Benz,3,3,20,true,false
152,Without_carnet,Microcar,2,1,16,false,false
153,Lorry,Agrale,3,1,25,true,true
154,Lorry,Volvo,3,3,0,true,true
155,Van,Opel,6,6,25,true,true
156,Lorry,Mercedes-Benz,3,2,13,true,false
157,Car,Citroen,3,2,28,true,false
158,Van,Nissan,6,6,2,true,false
159,Lorry,Mercedes-Benz,3,1,7,true,false
160,Without_carnet,Aixam,2,1,26,false,false
161,Motorbyke,Harley Davidson,2,2,27,true,false
162,Motorbyke,KTM,2,1,28,true,false
163,Without_carnet,Aixam,1,1,8,false,false
164,Motorbyke,Harley Davidson,1,1,28,true,false
165,Lorry,Iveco,3,1,2,true,false
166,Without_carnet,Ligier,1,1,21,false,false
167,Car,KIA,4,1,10,true,false
168,Lorry,Iveco,3,3,5,true,false
169,Lorry,Pegaso,3,3,4,true,false
170,Tractor,Valtra,1,1,30,true,false
171,Tractor,Fendt,2,1,6,true,true
172,Tractor,John Deere,1,1,13,true,false
173,Van,Nissan,8,6,25,true,false
174,Van,Mercedes-Benz,8,5,19,true,false
175,Motorbyke,Derbi,1,1,15,true,false
176,Tractor,Massey Ferguson,2,2,25,true,false
177,Van,Toyota,6,6,4,true,false
178,Motorbyke,Harley Davidson,2,2,18,true,false
179,Car,Land Rover,4,4,5,true,false
180,Car,Mini,5,4,15,true,false
181,Lorry,Iveco,3,3,13,true,false
182,Without_carnet,Ligier,1,1,1,false,false
183,Lorry,Mercedes-Benz,3,3,25,true,false
184,Without_carnet,Microcar,1,1,1,false,false
185,Motorbyke,Aprilia,1,1,12,true,false
186,Motorbyke,Derbi,1,1,4,true,false
187,Car,Mazda,5,3,2,true,false
188,Without_carnet,Aixam,2,1,19,false,false
189,Motorbyke,Harley Davidson,1,1,18,true,false
190,Tractor,Deutz,2,1,9,true,false
191,Car,Ferrari,2,2,9,true,true
192,Without_carnet,Aixam,1,1,13,false,false
193,Car,McLaren,5,5,19,true,false
194,Car,Peugeot,3,2,17,true,false
195,Lorry,Volvo,3,3,5,true,false
196,Motorbyke,Vespa,2,1,30,true,false
197,Motorbyke,Vespa,1,1,14,true,false
198,Car,BMW,4,2,25,true,false
199,Van,Peugeot,6,5,15,true,false
200,Van,Seat,6,6,25,true,false
201,Motorbyke,Aprilia,2,1,22,true,true
202,Without_carnet,Chatenet,2,1,11,false,false
203,Without_carnet,Chatenet,1,1,3,false,false
204,Tractor,New Holland,2,1,5,true,false
205,Tractor,Ford,1,1,15,true,false
206,Lorry,Iveco,3,3,30,true,false
207,Van,Mercedes-Benz,8,7,24,true,false
208,Van,Mercedes-Benz,6,6,16,true,false
209,Without_carnet,Microcar,2,1,25,false,false
210,Without_carnet,Ligier,2,2,14,false,false
211,Lorry,Iveco,3,1,21,true,false
212,Motorbyke,Vespa,1,1,1,true,false
213,Without_carnet,Microcar,2,1,18,false,false
214,Van,Ford,5,5,18,true,false
215,Lorry,Pegaso,3,1,7,true,false
216,Without_carnet,Chatenet,1,1,19,false,true
217,Lorry,Agrale,3,3,2,true,false
218,Tractor,Valtra,2,1,21,true,false
219,Lorry,Mercedes-Benz,3,3,3,true,false
220,Tractor,Case,1,1,27,true,false
221,Lorry,Pegaso,3,3,13,true,false
222,Car,Renault,4,4,28,true,false
223,Tractor,Massey Ferguson,1,1,22,true,false
224,Without_carnet,Ligier,1,1,21,false,false
225,Motorbyke,KTM,2,1,5,true,false
226,Without_carnet,Chatenet,2,1,5,false,false
227,Motorbyke,Yamaha,1,1,28,true,false
228,Car,Dodge,3,2,18,true,false
229,Without_carnet,Ligier,1,1,17,false,true
230,Van,Iveco,7,5,28,true,false
231,Without_carnet,Ligier,2,1,6,false,false
232,Lorry,Agrale,3,3,22,true,false
233,Without_carnet,Ligier,1,1,25,false,false
234,Motorbyke,Harley Davidson,1,1,20,true,false
235,Motorbyke,Kawasaki,2,2,7,true,false
236,Without_carnet,Microcar,1,1,23,false,false
237,Van,Renault,6,6,5,true,false
238,Tractor,John Deere,1,1,26,true,false
239,Lorry,Pegaso,3,2,16,true,false
240,Without_carnet,Microcar,2,2,21,false,false
241,Without_carnet,Chatenet,2,1,2,false,false
242,Van,Peugeot,8,5,9,true,false
243,Lorry,Pegaso,3,2,11,true,true
244,Without_carnet,Chatenet,2,1,27,false,true
245,Lorry,Mercedes-Benz,3,1,23,true,false
246,Tractor,John Deere,2,1,6,true,false
247,Car,Lamborgini,4,1,11,true,false
248,Lorry,Iveco,3,1,6,true,false
249,Car,Ferrari,3,2,1,true,true
250,Motorbyke,Yamaha,2,2,10,true,false
251,Car,Peugeot,2,1,1,true,false
252,Tractor,Deutz,2,2,14,true,false
253,Tractor,Massey Ferguson,1,1,13,true,false
254,Motorbyke,Kawasaki,1,1,0,true,false
255,Van,Fiat,7,7,12,true,false
256,Van,Fiat,7,5,16,true,false
257,Lorry,Mercedes-Benz,3,2,7,true,false
258,Lorry,Pegaso,3,3,1,true,false
259,Without_carnet,Microcar,1,1,16,false,false
260,Without_carnet,Aixam,1,1,4,false,false
261,Car,KIA,2,2,26,true,false
262,Motorbyke,Kawasaki,2,2,4,true,false
263,Tractor,Valtra,2,2,25,true,false
264,Lorry,Mercedes-Benz,3,2,24,true,false
265,Van,Nissan,8,7,21,true,true
266,Lorry,Mercedes-Benz,3,1,1,true,false
267,Tractor,New Holland,1,1,25,true,true
268,Motorbyke,Yamaha,1,1,25,true,false
269,Without_carnet,Aixam,1,1,5,false,false
270,Van,Opel,7,7,13,true,true
271,Motorbyke,Yamaha,1,1,2,true,false
272,Van,Iveco,7,6,10,true,false
273,Car,Dodge,4,3,7,true,false
274,Without_carnet,Microcar,2,2,28,false,false
275,Tractor,Valtra,2,1,30,true,false
276,Car,Hyunday,3,1,20,true,false
277,Tractor,Lanz Bulldog,1,1,25,true,false
278,Motorbyke,KTM,1,1,23,true,false
279,Without_carnet,Chatenet,2,2,27,false,false
280,Van,Nissan,7,6,14,true,false
281,Tractor,Claas,1,1,17,true,false
282,Tractor,Claas,2,1,30,true,false
283,Tractor,Case,2,1,20,true,false
284,Lorry,Agrale,3,1,11,true,false
285,Car,Acura,5,2,12,true,false
286,Motorbyke,Aprilia,2,2,17,true,false
287,Car,Rolls Royce,4,1,16,true,false
288,Van,Dacia,8,8,1,true,false
289,Lorry,Volvo,3,2,5,true,false
290,Lorry,Volvo,3,2,24,true,false
291,Tractor,New Holland,1,1,29,true,false
292,Lorry,Mercedes-Benz,3,1,6,true,false
293,Motorbyke,Yamaha,1,1,2,true,false
294,Motorbyke,Aprilia,2,1,5,true,false
295,Lorry,Pegaso,3,2,1,true,false
296,Van,Citroen,5,5,6,true,false
297,Lorry,Agrale,3,1,4,true,false
298,Motorbyke,Aprilia,1,1,29,true,false
